fr,dje
Il y a des chameaux dans le désert.,Yollomey go saajiya ra.
Le vent souffle fort.,Haw ga fufu da gaabi.
Les arbres bougent avec le vent.,Turey ga yanje da haw.
Plante des arbres pour l'environnement.,Ma tuuri tilam environnemaŋ se.
L'eau est essentielle à la vie.,Hari ga tilas fundi se.
Ne gaspille pas l'eau.,Ma si hari halaci.
Fais bouillir l'eau avant de la boire.,Ma hari fafagu za ni g'a haŋ.
La propreté est importante pour la santé.,Hananyaŋ ga tilas lafiya se.
Lave-toi régulièrement.,Ma ni fooru hananyaŋ waati kul.
Mange des fruits et des légumes.,Ma tuuri albarkey da kobtey ŋwa.
Fais du sport pour rester en forme.,Ma sport te zama ni ma goro laafiya.
Le repos est aussi important.,Fondi mo ga tilas.
Je vais au champ avec mon âne.,Ay ga koy fari ay farka banda.
Nous cultivons le mil et le sorgho.,Iri ga hayni da hamni tay.
La récolte sera bonne cette année.,Fari ga albarka te jiiri wo.
"Après la récolte, il y a la fête.","Fari zumbo banda, ceeci go no."
Les femmes pilent le mil.,Wayborey ga hayni guuru.
Elles préparent le tô.,I ga tuwo te.
Le tô est un plat traditionnel.,Tuwo ga ti ndaari kaanu.
J'aime la sauce gombo.,Ay ga ba ganji foori.
Viens manger avec nous.,Kaa iri ma ŋwa.
La nourriture est prête.,Ŋwaaro mooru.
Assieds-toi ici.,Ma goro ne.
Prends une chaise.,Ma karga di.
La maison est propre.,Fuwo ga hanan.
J'ai balayé la cour.,Ay na windoo kookari.
Les enfants jouent dans la cour.,Zankey ga fooru windoo ra.
"Ne fais pas de bruit, le bébé dort.","Araŋ ma si jinde te, zanka kayno ga kani."
Raconte-moi une histoire.,Ma baaro te ay se.
Il était une fois un roi et une reine.,"Waati fo, bonkooni fo da nga wande go no."
Ils vivaient dans un grand château.,I goro fu beeri fo ra.
Le roi était sage et juste.,"Bonkoono gonda laakari, a ga adilitaray te."
La reine était belle et gentille.,"Bonkoono wandey kaano, a ga baani."
"Un jour, un dragon attaqua le royaume.","Han fo, dragon fo na laabo kar."
Le héros a combattu le dragon.,Gasso na wongu te da dragono.
Il a sauvé la princesse.,A na bonkoono ize wayo faaba.
Et ils vécurent heureux.,I goro nda kaani bina hala abada.
C'est une belle histoire.,Baaro wo kaano.
J'ai un rendez-vous à dix heures.,Ay gonda randevu guuru way.
Je dois partir maintenant.,Ay ga hima ay ma dira sohon.
Sois prudent sur la route.,Ma haggoy da fonda.
Le voyage était long.,Diraw ku.
Nous sommes arrivés sains et saufs.,Iri to da lafiya.
Bienvenue chez nous.,Foofo iri do.
Fais comme chez toi.,Ma te sanda ni fu no.
Je voudrais acheter des tomates.,Ay ga ba ay ma tomati day.
Combien coûte le kilo de tomates ?,Kilo tomati foti?
Donne-moi aussi des oignons.,No ay se albasa mo.
Voici votre monnaie.,Ni nooro banda ne.
Le marché est animé.,Kaaso ga yulwa.
Il y a beaucoup de monde.,Boro boobo go no.
Les vendeurs crient leurs prix.,Neerakoy ga ngey hayey sanda jinde sambu.
J'ai acheté un beau tissu.,Ay na fari kaano fo day.
Je vais le donner au tailleur.,Ay g'a no tayloro se.
Il va me coudre une robe.,A ga bankaaray te ay se.
J'attends le bus.,Ay ga biso hangan.
Le bus est en retard.,Biso na gay.
"Enfin, il arrive.","A go, a kaa."
Monte dans le bus.,Ma biso kuru.
Descends au prochain arrêt.,Ma zun biso kayyaŋo jiina.
Le taxi est plus rapide.,Taksi ga yaw.
Mais il est plus cher.,Amma a ga daabu.
Je préfère marcher.,Ay ga ba ce diraw.
Marcher est bon pour la santé.,Ce diraw ga lafiya no.
Regarde ce bel oiseau.,Ma guna curko kaano wo.
Ses plumes sont colorées.,A kuurey gonda لون boobo.
La fleur sent bon.,Fulawo ga fiti kaano.
Ne cueille pas les fleurs.,Ma si fulawey tuusu.
Respecte la nature.,Ma natuur say.
La lune brille la nuit.,Handu ga ka cin.
Les étoiles scintillent.,Handu bonjarey ga karkar.
Le ciel est clair ce soir.,Beero ga hanan hunkuna wiciri.
"Demain, il fera beau.","Suba, haw ga kaanu."
J'espère qu'il ne pleuvra pas.,Ay ga beeje hari si ka.
Nous avons besoin de pluie pour les cultures.,Iri ga hari laamiya fari se.
La saison des pluies a commencé.,Haray waato sintin.
Les routes sont parfois mauvaises.,Fondoyaŋ ga laala waati fooyaŋ.
Conduis prudemment.,Ma ni masino da hawru.
Le téléphone portable est utile.,Portabal (téléphone portable) gonda nafa.
Je t'appelle ce soir.,Ay ga ni ce hunkuna wiciri.
J'ai reçu ton message.,Ay na ni mesaajo du.
L'internet nous connecte au monde.,Internet ga iri margu nda ndunnya.
Je cherche des informations en ligne.,Ay ga habaru gungun internet ra.
L'ordinateur aide beaucoup au travail.,Ordinatör ga faaba gumo goy ra.
L'électricité est coupée.,Elektrisite ko.
Nous utilisons des lampes à pétrole.,Iri ga lampi petrol te.
La science progresse chaque jour.,Science ga koy jina zaari kul.
Les scientifiques font des recherches.,Scientifikey ga recherche te.
La médecine sauve des vies.,Medecine ga fundi faaba.
L'hôpital est loin d'ici.,Hopital ga mooru ne.
L'infirmière prend soin des malades.,Infirmière ga jantukwa haggoy.
La vaccination protège contre les maladies.,Vaccination ga borey gaay da cutey.
L'ingénieur conçoit des bâtiments.,Ingénieur ga cinari plan te.
Ce pont est une grande construction.,Kööprü wo ga ti cina beeri.
Les ouvriers travaillent sur le chantier.,Goykoy ga goy chantier ra.
La sécurité au travail est primordiale.,Goy nangu lafiya ga tilas.
Porte ton casque.,Ma ni kasko (casque) daŋ.
Le mécanicien répare la voiture.,Mekanisiyeŋ ga motoro hanse.
Ma voiture est en panne.,Ay motoro laala.
Le pneu est crevé.,Pneu bu.
Il faut changer la roue.,A ga hima i ma teeko barmay.
Le menuisier fabrique des meubles.,Saajikwa ga fu kaasey te.
Cette table est en bois.,"Taabaley wo, bundu no."
Le bois est un matériau naturel.,Bundu ga ti hay ka Natur no.
Le forgeron travaille le fer.,Kurmkwa ga guuru goy.
Il fabrique des outils.,A ga goy jinay te.
La houe est utile pour cultiver.,Kalma ga nafa fari tayyan se.
Le potier fait des pots en argile.,Bumakonda ga buumey te da laabu.
Ces poteries sont magnifiques.,Buumey wo kaano.
L'artisanat local est riche.,Nangu kambe goyo gonda arzaka.
Achetons des produits locaux.,Iri ma nangu hayey day.
Cela soutient l'économie.,Woodin ga ekonomi faaba.
L'éducation est la clé du développement.,Karam ga ti laabu albarka fonda.
Tous les enfants doivent aller à l'école.,Zankey kul ga hima i ma koy karam.
L'analphabétisme est un problème.,Alfa si bayyan ga ti problem.
Apprendre à lire et à écrire est essentiel.,Cawyan da hantumyan dondon ga tilas.
La bibliothèque a beaucoup de livres.,Bibliotek gonda tira boobo.
Je vais emprunter un livre.,Ay ga koy tira gaayu.
Lis chaque jour.,Ma caw zaari kul.
L'histoire est intéressante.,Taariki ga kaanu.
Nous apprenons du passé.,Iri ga hay dondon zaman gaa.
La géographie nous apprend sur le monde.,Geografi ga iri dondonandi ndunnya boŋ.
Les mathématiques sont parfois difficiles.,Matematik ga sandi waati fooyaŋ.
Mais elles sont utiles.,Amma i gonda nafa.
Un plus un égale deux.,Afo da afo ga te ihinka.
Calcule cette somme.,Ma lasaabu wo te.
Le Niger est un pays d'Afrique de l'Ouest.,Niijer ga ti Afirik Uest laabu.
Sa capitale est Niamey.,A laabu birno ga ti Niamey.
Le drapeau nigérien a trois couleurs.,Niijer darawo gonda لون ihinza.
"Orange, blanc et vert.","Oranz, funay da verd."
"La devise est Fraternité, Travail, Progrès.","Devise no ga ti Fraternité, Goy, Progrès."
Il y a plusieurs ethnies au Niger.,Boro dumi boobo go Niijer ra.
Elles vivent en harmonie.,I ga goro nda lafiya.
La paix est précieuse.,Lafiya gonda alhorma.
Nous devons la préserver.,Iri ga hima iri m'a haggoy.
La solidarité est importante.,Borey ma cere gaay ga tilas.
Aide ton prochain.,Ma ni gorokasin faaba.
Ne juge pas les autres.,Ma si boro cee.
Sois honnête et sincère.,Ma te adilante da bine folokante.
Le mensonge ne mène nulle part.,Congu si boro konda nangu fo.
La vérité finit toujours par triompher.,Cimi ga hin banda.
Travaille dur pour réussir.,Ma goy da gaabi zama ni ma du albarka.
La paresse est mère de tous les vices.,Farga ga ti laala kul nya.
Sois courageux face aux difficultés.,Ma te gaabikooni hasaraw jine.
N'abandonne jamais tes rêves.,Ma si ni miiley naŋ abada.
L'espoir fait vivre.,Beejo no ga fundi no.
Souris à la vie.,Ma haaru fundi se.
Le bonheur est dans les choses simples.,Kaani bina go hay kayney ra.
Partage ce que tu as.,Ma ni hayey fay da borey.
La générosité est une grande qualité.,Kulu ga ti tabi'a beeri.
Respecte les personnes âgées.,Ma boro zeeney say.
Elles ont beaucoup d'expérience.,I gonda expérience boobo.
Écoute leurs conseils.,Ma ngey saawarey maa.
Les jeunes sont l'avenir du pays.,Zankey no ga ti laabo suba.
Il faut bien les éduquer.,A ga hima i m'i dondonandi kaani.
Protégeons l'environnement pour les générations futures.,Iri ma environnemaŋ gaay suba izey se.
La pollution est un danger.,Pollution ga ti kankami.
Ne jette pas les ordures par terre.,Ma si fumbu daŋ ganda.
Utilise les poubelles.,Ma poubelley goyandi.
Recycle tes déchets.,Ma ni fumbey te hay fo ka i ga hin ka goyandi koyne.
L'eau propre est une ressource limitée.,Hari hanante ga ti arzaka ka si boobo.
Économise l'énergie.,Ma enerji daabu.
Éteins la lumière en sortant.,Ma fitilla wi za ni ga fatta.
Plante un arbre aujourd'hui.,Ma tuuri fo tilam hunkuna.
Chaque geste compte.,Goy kulu gonda nga alhorma.
"Ensemble, nous pouvons faire la différence.","Iri marganta, iri ga hin ka barmay kaa."
Le changement climatique est une réalité.,Klima barmay ga ti cimi.
Nous devons agir maintenant.,Iri ga hima iri ma goy sohon.
Les énergies renouvelables sont une solution.,Enerji ka i ga te koyne ga ti fonda.
Le soleil est une source d'énergie.,Wayna ga ti enerji funa.
Les panneaux solaires produisent de l'électricité.,Panno soler ga elektrisite te.
C'est une technologie propre.,Teknoloji hanante no.
L'avenir est entre nos mains.,Suba go iri kambey ra.
Soyons responsables.,Iri ma te borey ka ga ngey boŋ bay.
Je me brosse les dents chaque matin.,Ay ga ay hinjey nyun subba kul.
Elle prépare le petit déjeuner.,A ga subba futu te.
Nous mangeons du pain avec du beurre.,Iri ga buru ŋwa da bötör.
Le café me réveille.,Kafe ga ay tunandi.
Je prends une douche rapide.,Ay ga nyun da waasu.
Je m'habille pour aller au travail.,Ay ga bankaaray daŋ zama ay ma koy goy.
Le trajet dure trente minutes.,Diraw ga te minti waranza.
Je commence le travail à neuf heures.,Ay ga goy sintin guuru yegga.
J'ai beaucoup de dossiers à traiter.,Ay gonda dosiye boobo ka ay ga hima ay m'i goy.
La réunion est à quatorze heures.,La réunion go guuru ihinka wiciri kambu.
Je déjeune à la cantine.,Ay ga zaari ŋwaari ŋwa kantin ra.
"Le soir, je rentre à la maison.","Wiciri, ay ga ye fu."
Je dîne avec ma famille.,Ay ga wiciri ŋwaari ŋwa ay almayaaley banda.
Nous discutons de notre journée.,Iri ga iri zaaro sanni te.
Je lis un peu avant de dormir.,Ay ga caw kayna za ay ma kani.
"Le week-end, je me repose.","Wikend, ay ga fondi."
Je rends visite à mes amis.,Ay ga koy ay corey guna.
Nous allons parfois à la campagne.,"Waati fooyaŋ, iri ga koy saaji."
L'air y est plus pur.,Haw ga hanan noodin.
J'aime la tranquillité de la nature.,Ay ga ba natuur lafiya.
Les vacances approchent.,Konje ga maan.
Où irons-nous cette année ?,Man no iri ga koy jiiri wo?
Peut-être à la mer.,Taka teeko gaa.
Ou à la montagne.,Wala tondi boŋ.
J'ai besoin de changer d'air.,Ay ga laabukaw haw barmay laamiya.
Voyager ouvre l'esprit.,Diraw ga laakal feeri.
On découvre de nouvelles cultures.,Boro ga kultür taji dondon.
On rencontre des gens différents.,Boro ga kubay da boro dumi waani.
C'est enrichissant.,A ga arzaka tonton.
Mon passeport est à jour.,Ay paspor go da wati.
J'ai fait ma valise.,Ay na ay kwaara te.
N'oublie pas ton appareil photo.,Ma si ni foto jinay dirma.
Pour prendre des souvenirs.,Zama ni ma fonguyaŋ di.
Le train part à l'heure.,Treŋ ga tun nga waato ra.
L'avion décolle bientôt.,Avion ga tun sohondi.
Attache ta ceinture de sécurité.,Ma ni sentir (ceinture) haw.
Le vol sera agréable.,Avion diraw ga kaanu.
Bon voyage !,Fonda baani!
Écris-moi quand tu arrives.,Ma hantum ay se waati ka ni to.
Je pense à toi.,Ay ga ni fongu.
Tu me manques.,Ay ga ni gungun.
Prends soin de toi.,Ma ni boŋ haggoy.
À bientôt.,Kala banda kayna.
Le ciel est bleu aujourd'hui.,Beero ga bulu hunkuna.
Les nuages sont blancs.,Burmu ga funay.
Un arc-en-ciel est apparu après la pluie.,Kataka te haro banda.
C'est magnifique à voir.,A kaano gunaa.
Le tonnerre gronde au loin.,Beero ga guuru noodin mooru.
L'éclair a zébré le ciel.,Mollo na beero kotte.
J'aime l'odeur de la terre après la pluie.,Ay ga ba laabo fitilla haro banda.
Les plantes poussent bien.,Subey ga te kaani.
Les fleurs s'ouvrent au soleil.,Fulawey ga feeri wayna ra.
Les abeilles butinent les fleurs.,Ciisey ga fulawey haŋ.
Elles fabriquent du miel.,I ga yu te.
Le miel est sucré et bon pour la santé.,"Yu ga day, a ga lafiya no."
Le caméléon change de couleur.,Ganjakoko ga nga fär barmay.
Le crocodile vit dans l'eau.,Ganyo ga goro hari ra.
Le singe grimpe aux arbres.,Fono ga tuuri kuru.
Il mange des bananes.,A ga namooni ŋwa.
La girafe a un long cou.,Jiraf gonda ce kuuku.
Elle mange les feuilles des arbres.,A ga tuuri kobtey ŋwa.
Le zèbre a des rayures noires et blanches.,Burtu gonda ceeri bi da funay.
Chaque animal est unique.,Alman kul gonda nga dumi.
Nous devons protéger les animaux sauvages.,Iri ga hima iri ma alman saajey gaay.
Le braconnage est interdit.,Alman wi kaŋ ga saba ga ti haram.
Les parcs nationaux préservent la faune.,Park nasyonal ga almaney gaay.
Visitons un parc national.,Iri ma koy park nasyonal fo guna.
C'est une expérience inoubliable.,A ga ti expérience ka boro si dirma.
Le silence de la brousse est apaisant.,Saaji siiraw ga bine serendi.
Écoutons les bruits de la nature.,Iri ma natuur jinde maa.
Le criquet chante dans l'herbe.,Koree ga dooni subu ra.
La fourmi travaille sans cesse.,Hunci ga goy waati kul.
Elle amasse des provisions pour l'hiver.,A ga ŋwaari margu sumay se.
La cigale chante tout l'été.,Sigale ga dooni koraŋ kul.
Soyons prévoyants comme la fourmi.,Iri ma te sanda hunci ka ga hay fongu.
La patience est une vertu.,Suuru ga ti tabi'a kaano.
Tout vient à point à qui sait attendre.,"Boro ka suuru, a ga du nga muraado."
Ne te décourage pas facilement.,Ma si bine buri da farhã.
Persévère dans tes efforts.,Ma ni gaabo gaay ni goyo ra.
La réussite est au bout de l'effort.,Albarka go goy gaabo banda.
Crois en toi-même.,Ma ni boŋ naanay.
Tu as du potentiel.,Ni gonda hinne.
Développe tes talents.,Ma ni talentey beeriandi.
Apprends de tes erreurs.,Ma dondon ni firfiryey ra.
Personne n'est parfait.,Boro kulu si timme.
L'important est de toujours essayer.,Hay ka bisa kul ga ti boro ma si gay da ceeciyan.
Sois positif et optimiste.,Ma te bine kaanokwa da beeje kwa.
"La vie est belle, malgré les défis.","Fundi ga kaanu, baa da hasara go no."
Chaque jour est une nouvelle chance.,Zaari kul ga ti dama taji.
Saisis ta chance.,Ma ni dama di.
Fais de ton mieux.,Ma ni hinne kul te.
Et sois fier de toi.,Kala ni ma farhã da ni boŋ.
Le respect mutuel est la base de toute relation.,Cere sayyan no ga ti alakaw kul sintina.
Écoute attentivement quand quelqu'un parle.,Ma maa kaani waati ka boro ga sanni te.
Ne coupe pas la parole.,Ma si sanni dagu.
Exprime ton opinion poliment.,Ma ni miila cabe da aladab.
Accepte les différences.,Ma barmay yadda.
Nous sommes tous différents et uniques.,"Iri kul barmay, iri kul gonda iri dumi."
La diversité est une richesse.,Barmay ga ti arzaka.
Apprenons les uns des autres.,Iri ma dondon iri cere gaa.
La tolérance est essentielle pour vivre ensemble.,Suuru ga tilas zama iri ma goro care banda.
Combattons l'ignorance par l'éducation.,Iri ma jahilci wongu da karam.
Un esprit ouvert apprend plus.,Laakal feerante ga dondon ka bisa.
Pose des questions si tu ne comprends pas.,Ma hãlli te nda ni mana faham.
Il n'y a pas de question stupide.,Hãlli laalo si no.
La curiosité est une bonne chose.,Hay bay laala ga kaanu.
Elle mène à la découverte.,A ga konda hay taji bayyaŋ gaa.
Explore le monde qui t'entoure.,Ma ndunnya ka ga ni windi guna.
Il y a tant de choses à apprendre.,Hay boobo go no ka boro ga hin ka dondon.
La connaissance est un pouvoir.,Bayray ga ti gaabi.
Utilise-la sagement.,M'a goyandi da laakari.
Partage tes connaissances avec les autres.,Ma ni bayray fay da borey.
Aider les autres à apprendre est gratifiant.,Boro faaba a ma dondon ga bine kaandi.
L'enseignant joue un rôle crucial.,Karamkwa goyo ga tilas gumo.
Respecte tes enseignants.,Ma ni karamkoy say.
Ils te guident sur le chemin du savoir.,I ga ni candi bayray fonda boŋ.
L'école est un lieu d'apprentissage et de socialisation.,Karam nangu ga ti dondonyaŋ da marguyan nangu.
Fais-toi des amis à l'école.,Ma corey te karam nangoo ra.
Les amis sont importants dans la vie.,Corey ga tilas fundi ra.
Un véritable ami est un trésor.,Coro cimi ga ti arzaka.
